,study_type,dimension,configuration,stress_state,weight_function_type,crack_length_mm,minimum_element_size_mm,domain_id,domain_r_min,domain_r_max,j_integral_value_analytical,j_integral_value_calculated,j_integral_error_percentage,stress_intensity_factor_value_analytical,stress_intensity_factor_value_calculated,stress_intensity_factor_error_percentage
0,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,1,0,0.2,1.1073,0.8356,24.5362,282.3589,245.2848,13.1301
1,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,2,0.2,0.4,1.1073,1.1255,1.6402,282.3589,284.6651,0.8168
2,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,3,0.4,0.6,1.1073,1.088,1.748,282.3589,279.8802,0.8779
3,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,4,0.6,0.8,1.1073,1.1177,0.9376,282.3589,283.6796,0.4677
4,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,5,0.8,1,1.1073,1.1068,0.042,282.3589,282.2997,0.021
5,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,6,1,1.2,1.1073,1.1086,0.1148,282.3589,282.521,0.0574
6,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,7,1.2,1.4,1.1073,1.124,1.5064,282.3589,284.4776,0.7504
7,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,8,1.4,1.6,1.1073,1.1394,2.8937,282.3589,286.4151,1.4366
8,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,9,1.6,1.8,1.1073,1.1458,3.4738,282.3589,287.2213,1.7221
9,crack_length,2d,deformed,plane_stress,polynomial,2,0.092,10,1.8,2,1.1073,1.1117,0.3978,282.3589,282.92,0.1987
10,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,1,0,0.4,2.3468,2.2528,4.0068,411.0586,402.7393,2.0239
11,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,2,0.4,0.8,2.3468,2.4058,2.5161,411.0586,416.1977,1.2502
12,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,3,0.8,1.2,2.3468,2.381,1.4568,411.0586,414.0419,0.7258
13,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,4,1.2,1.6,2.3468,2.3998,2.2578,411.0586,415.6731,1.1226
14,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,5,1.6,2,2.3468,2.396,2.0989,411.0586,415.35,1.044
15,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,6,2,2.4,2.3468,2.3802,1.4228,411.0586,413.9725,0.7089
16,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,7,2.4,2.8,2.3468,2.387,1.7112,411.0586,414.5607,0.852
17,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,8,2.8,3.2,2.3468,2.3974,2.1572,411.0586,415.4686,1.0729
18,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,9,3.2,3.6,2.3468,2.4009,2.304,411.0586,415.7671,1.1455
19,crack_length,2d,deformed,plane_stress,polynomial,4,0.184,10,3.6,4,2.3468,2.3904,1.8578,411.0586,414.8593,0.9246
20,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,1,0,0.6,3.8574,3.7922,1.6915,527.0044,522.5281,0.8494
21,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,2,0.6,1.2,3.8574,3.9342,1.991,527.0044,532.2247,0.9906
22,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,3,1.2,1.8,3.8574,3.9231,1.7042,527.0044,531.476,0.8485
23,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,4,1.8,2.4,3.8574,3.9274,1.8148,527.0044,531.7648,0.9033
24,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,5,2.4,3,3.8574,3.9073,1.2922,527.0044,530.3984,0.644
25,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,6,3,3.6,3.8574,3.8899,0.841,527.0044,529.2158,0.4196
26,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,7,3.6,4.2,3.8574,3.8943,0.9557,527.0044,529.5167,0.4767
27,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,8,4.2,4.8,3.8574,3.8781,0.5352,527.0044,528.4127,0.2672
28,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,9,4.8,5.4,3.8574,3.8667,0.2415,527.0044,527.6402,0.1207
29,crack_length,2d,deformed,plane_stress,polynomial,6,0.276,10,5.4,6,3.8574,3.9117,1.4062,527.0044,530.6967,0.7006
30,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,1,0,0.8,5.7692,5.6096,2.7668,644.5041,635.5256,1.3931
31,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,2,0.8,1.6,5.7692,5.8594,1.5631,644.5041,649.5218,0.7785
32,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,3,1.6,2.4,5.7692,5.8382,1.1958,644.5041,648.3461,0.5961
33,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,4,2.4,3.2,5.7692,5.8064,0.6437,644.5041,646.575,0.3213
34,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,5,3.2,4,5.7692,5.7667,0.0444,644.5041,644.3611,0.0222
35,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,6,4,4.8,5.7692,5.7674,0.0328,644.5041,644.3984,0.0164
36,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,7,4.8,5.6,5.7692,5.7904,0.366,644.5041,645.6825,0.1828
37,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,8,5.6,6.4,5.7692,5.7953,0.4515,644.5041,645.9574,0.2255
38,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,9,6.4,7.2,5.7692,5.789,0.3428,644.5041,645.6079,0.1713
39,crack_length,2d,deformed,plane_stress,polynomial,8,0.369,10,7.2,8,5.7692,5.6548,1.9832,644.5041,638.0814,0.9965
40,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,1,0,1,8.2259,8.0115,2.6062,769.5877,759.4932,1.3117
41,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,2,1,2,8.2259,8.2934,0.8205,769.5877,772.7384,0.4094
42,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,3,2,3,8.2259,8.2566,0.373,769.5877,771.0218,0.1863
43,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,4,3,4,8.2259,8.2339,0.0969,769.5877,769.9606,0.0485
44,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,5,4,5,8.2259,8.1971,0.3505,769.5877,768.238,0.1754
45,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,6,5,6,8.2259,8.1166,1.3287,769.5877,764.4579,0.6666
46,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,7,6,7,8.2259,8.1179,1.3125,769.5877,764.5208,0.6584
47,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,8,7,8,8.2259,8.1273,1.1989,769.5877,764.9607,0.6012
48,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,9,8,9,8.2259,8.1842,0.5069,769.5877,767.6345,0.2538
49,crack_length,2d,deformed,plane_stress,polynomial,10,0.461,10,9,10,8.2259,7.9903,2.864,769.5877,758.4871,1.4424
50,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,1,0,1.5,18.1516,18.1133,0.2107,1143.2033,1141.9981,0.1054
51,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,2,1.5,3,18.1516,18.2665,0.6332,1143.2033,1146.8172,0.3161
52,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,3,3,4.5,18.1516,18.2828,0.7226,1143.2033,1147.3265,0.3607
53,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,4,4.5,6,18.1516,18.3151,0.9008,1143.2033,1148.341,0.4494
54,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,5,6,7.5,18.1516,18.0903,0.3378,1143.2033,1141.2711,0.169
55,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,6,7.5,9,18.1516,17.8624,1.5931,1143.2033,1134.0606,0.7997
56,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,7,9,10.5,18.1516,17.8072,1.8974,1143.2033,1132.3059,0.9532
57,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,8,10.5,12,18.1516,17.9225,1.2618,1143.2033,1135.968,0.6329
58,crack_length,2d,deformed,plane_stress,polynomial,15,0.691,9,12,13.5,18.1516,17.4809,3.6951,1143.2033,1121.8832,1.8649
